key,chips,raw_first_irq,raw_top_irq,raw_top_share,raw_distinct_irqs,parser_detected_irq,raw_in_bounds,parser_in_bounds,detected_zero,parser_disagrees_with_raw,near_lower_bound,near_upper_bound
20CC/Greystorm.1.dump.parquet,1,0,15686499,0.0001,90869,18581,0,1,0,1,0,0
20CC/Greystorm.10.dump.parquet,1,0,22741928,0.0008,4259,19656,0,1,0,1,0,0
20CC/Greystorm.11.dump.parquet,1,0,22741928,0.0002,11264,19656,0,1,0,1,0,0
20CC/Greystorm.2.dump.parquet,1,0,23351264,0.0002,13478,19656,0,1,0,1,0,0
20CC/Greystorm.3.dump.parquet,1,0,22741928,0.0004,6895,19656,0,1,0,1,0,0
20CC/Greystorm.4.dump.parquet,1,0,1985192,0.0015,1797,19656,0,1,0,1,0,0
20CC/Greystorm.5.dump.parquet,1,0,2810744,0.0088,335,19656,0,1,0,1,0,0
20CC/Greystorm.6.dump.parquet,1,0,2692808,0.0082,300,19656,0,1,0,1,0,0
20CC/Greystorm.7.dump.parquet,1,0,1041704,0.0051,438,19656,0,1,0,1,0,0
20CC/Greystorm.8.dump.parquet,1,0,2928680,0.0016,1553,19656,0,1,0,1,0,0
20CC/Greystorm.9.dump.parquet,1,0,569960,0.0012,1553,19656,0,1,0,1,0,0
20CC/Hip_House.1.dump.parquet,1,0,1945880,0.0003,10743,19656,0,1,0,1,0,0
20CC/I_Wanna_Dance.1.dump.parquet,1,0,746864,0.0007,3296,19656,0,1,0,1,0,0
20CC/TV_Tunes_Mix.1.dump.parquet,1,0,1690352,0.0006,5428,19656,0,1,0,1,0,0
20CC/TV_Tunes_Mix_v2.1.dump.parquet,1,0,0,0.0014,5198,19656,0,1,0,1,0,0
2121/8_Days_a_Week.1.dump.parquet,1,0,0,0.0072,1166,102264,0,0,0,1,0,0
2121/Allegro_Nr_19.1.dump.parquet,1,0,0,0.0421,150,122717,0,0,0,1,0,0
2121/And_I_Love_Her.1.dump.parquet,1,0,0,0.0071,1056,127832,0,0,0,1,0,0
2121/Apache.1.dump.parquet,1,0,0,0.0029,3956,78665,0,0,0,1,0,0
2121/Circus_Renz.1.dump.parquet,1,0,0,0.0056,1165,102264,0,0,0,1,0,0
2121/Comment_Ca_Va.1.dump.parquet,1,0,0,0.0064,1648,102264,0,0,0,1,0,0
2121/Elisabethan_Serenade.1.dump.parquet,1,0,0,0.0083,1067,102264,0,0,0,1,0,0
2121/Fool_on_the_Hill.1.dump.parquet,1,0,0,0.0124,833,139448,0,0,0,1,0,0
2121/Guardian_Angel.1.dump.parquet,1,0,0,0.0124,727,127832,0,0,0,1,0,0
2121/Here_There.1.dump.parquet,1,0,0,0.0107,719,139448,0,0,0,1,0,0
2121/I_Just_Called.1.dump.parquet,1,0,0,0.0119,881,87655,0,0,0,1,0,0
2121/I_Saved_the_Day.1.dump.parquet,1,0,0,0.0111,835,68480,0,0,0,1,0,0
2121/Ik_verscheurde_je_foto.1.dump.parquet,1,0,0,0.0036,1805,56394,0,0,0,1,0,0
2121/Josephine.1.dump.parquet,1,0,0,0.0081,1291,92964,0,0,0,1,0,0
2121/Mi_Amor.1.dump.parquet,1,0,0,0.0068,984,132240,0,0,0,1,0,0
2121/Mont_Sonate_Pt_1.1.dump.parquet,1,0,0,0.0066,890,255660,0,0,0,1,0,0
2121/Mont_Sonate_Pt_2.1.dump.parquet,1,0,0,0.0102,464,511328,0,0,0,1,0,0
2121/Nicole.1.dump.parquet,1,0,0,0.0097,1066,117999,0,0,0,1,0,0
2121/Ole_Guapa.1.dump.parquet,1,0,0,0.0016,3374,71016,0,0,0,1,0,0
2121/Que_Sera_Sera.1.dump.parquet,1,0,0,0.0109,797,87655,0,0,0,1,0,0
2121/Rock_Around_the_Clock.1.dump.parquet,1,0,0,0.009,1265,63648,0,0,0,1,0,0
2121/Santa_Lucia.1.dump.parquet,1,0,0,0.0091,1189,85220,0,0,0,1,0,0
2121/Schlagerfestival.1.dump.parquet,1,0,0,0.0045,2264,123704,0,0,0,1,0,0
2121/So_Long_Marianne.1.dump.parquet,1,0,0,0.0062,1435,127832,0,0,0,1,0,0
2121/Tango_D_Amor.1.dump.parquet,1,0,0,0.0048,1032,61356,0,0,0,1,0,0
2121/Tanze_mit_mir.1.dump.parquet,1,0,0,0.0107,886,109571,0,0,0,1,0,0
2121/Troop.1.dump.parquet,1,0,0,0.0116,589,102264,0,0,0,1,0,0
2121/Wheels.1.dump.parquet,1,0,0,0.0077,1002,61112,0,0,0,1,0,0
2121/Zaterdagavond.1.dump.parquet,1,0,0,0.003,3453,127832,0,0,0,1,0,0
2121/Zeeman.1.dump.parquet,1,0,0,0.016,522,117999,0,0,0,1,0,0
2222/A_Passing_Storm.1.dump.parquet,1,0,0,0.008,965,87655,0,0,0,1,0,0
2222/Abide_with_Me.1.dump.parquet,1,0,0,0.0077,884,102264,0,0,0,1,0,0
2222/Bouzoukis_Klinken.1.dump.parquet,1,0,0,0.0104,656,153396,0,0,0,1,0,0
