key,error
A-Man/Phat_Frog_2SID.1.dump.parquet,empty
Acrouzet/A_Pointless_Quest_2SID.1.dump.parquet,empty
Arturo_Dente/Arkadenoid_BASIC.1.dump.parquet,empty
Batsman/Piraten_2SID.1.dump.parquet,empty
Bayliss_Richard/Summer_Timebooze_2SID.1.dump.parquet,empty
Bayliss_Richard/Trance_Sector_Loader_Remix_2SID.1.dump.parquet,empty
Booker/Icu_2SID.1.dump.parquet,empty
Booker/Stereo_Pendejo_2SID.1.dump.parquet,empty
Buddha/Last_Party_2SID.1.dump.parquet,empty
Butterfield_Jim/Happy_Birthday_BASIC.1.dump.parquet,empty
C0zmo/Space_Oddity_2SID.1.dump.parquet,empty
Cadaver/Simple_2SID.1.dump.parquet,empty
Cadaver/Sleepwalk_2SID.1.dump.parquet,empty
Cadaver/Stereotest_2SID.1.dump.parquet,empty
Chabee/Stickman_2SID.1.dump.parquet,empty
Chiummo_Gaetano/A_Childhood_Dream_2SID.1.dump.parquet,empty
Chiummo_Gaetano/Calming_Stream_2SID.1.dump.parquet,empty
Chiummo_Gaetano/Edelin_Tales_Theme_3SID.1.dump.parquet,empty
Chiummo_Gaetano/Enchanted_Forest_3SID.1.dump.parquet,empty
Chiummo_Gaetano/Happy_New_Wave_3SID.1.dump.parquet,empty
Chiummo_Gaetano/Hope_3SID.1.dump.parquet,empty
Chiummo_Gaetano/New_Adventure_3SID.1.dump.parquet,empty
Chiummo_Gaetano/Ramos_2016_3SID.1.dump.parquet,empty
Connolly_Sean/Lovefunk_2SID.1.dump.parquet,empty
Crisps/Missile_Defence_2SID.1.dump.parquet,empty
Crisps/Missile_Defence_2SID.2.dump.parquet,empty
Crisps/Missile_Defence_2SID.3.dump.parquet,empty
Crisps/Missile_Defence_2SID.4.dump.parquet,empty
Crisps/Missile_Defence_2SID.5.dump.parquet,empty
Crisps/Missile_Defence_2SID.6.dump.parquet,empty
Crisps/Missile_Defence_2SID.7.dump.parquet,empty
Crowley_Owen/Adventure_2SID.1.dump.parquet,empty
Crowley_Owen/Blank_Page_2SID.1.dump.parquet,empty
Crowley_Owen/Blank_Page_Part_III_2SID.1.dump.parquet,empty
Crowley_Owen/Electrozombie_Generation_2SID.1.dump.parquet,empty
Crowley_Owen/Experiment_Five_2SID.1.dump.parquet,empty
Crowley_Owen/Fast_Jaguar_2SID.1.dump.parquet,empty
Crowley_Owen/Fast_Lane_2SID.1.dump.parquet,empty
Crowley_Owen/Firestarter_2SID.1.dump.parquet,empty
Crowley_Owen/Hooker_2SID.1.dump.parquet,empty
Crowley_Owen/Huelsbeck_2SID.1.dump.parquet,empty
Crowley_Owen/Icony_2SID.1.dump.parquet,empty
Crowley_Owen/Lonely_Sample_2SID.1.dump.parquet,empty
Crowley_Owen/Love_and_Pain_2SID.1.dump.parquet,empty
Crowley_Owen/Mega_Power_Man_2SID.1.dump.parquet,empty
Crowley_Owen/Midnight_Cruise_2SID.1.dump.parquet,empty
