=== failing tunes ===
  Geir_Tjelta/SIDDuzz'It     frame 6768 reg 14: off=6675 on=5001 (+94 diff frames) /scratch/preframr/hvsc/MUSICIANS/B/Blues_Muz/Gallefoss_Glenn/Supremacy.1.dump.parquet
  Digitalizer_V2.x           frame 228 reg 14: off=63504 on=17820 (+38 diff frames) /scratch/preframr/hvsc/MUSICIANS/B/Blues_Muz/Gallefoss_Glenn/Tissemann.1.dump.parquet
  MoN/FutureComposer         frame 20 reg 7: off=8410 on=13350 (+14 diff frames) /scratch/preframr/hvsc/MUSICIANS/N/Narciso/Check_Point.1.dump.parquet
  GoatTracker_V2.x           frame 10 reg 14: off=2973 on=17820 (+86 diff frames) /scratch/preframr/hvsc/MUSICIANS/W/Warlord/Exhale.1.dump.parquet
  Music_Assembler            frame 2053 reg 0: off=8910 on=7072 (+10 diff frames) /scratch/preframr/hvsc/MUSICIANS/S/Scroll/Fewl_Suppe.1.dump.parquet
  GoatTracker_V1.x           frame 5120 reg 0: off=23787 on=47574 (+16 diff frames) /scratch/preframr/hvsc/MUSICIANS/N/Ne7/Morning_Sun_Chicanery.1.dump.parquet
  Heathcliff/DigitalArts     frame 1880 reg 0: off=4205 on=3150 (+15 diff frames) /scratch/preframr/hvsc/MUSICIANS/N/No-XS/Laat_me_los.1.dump.parquet
  GoatTracker_V2.x           frame 5137 reg 7: off=4455 on=8912 (+1146 diff frames) /scratch/preframr/hvsc/MUSICIANS/M/Mythus/Every_BIT_You_Take.1.dump.parquet
  Hermit/SidWizard_V1.x      frame 1650 reg 14: off=8910 on=526 (+87 diff frames) /scratch/preframr/hvsc/MUSICIANS/G/Goerp/Ready_to_Go.1.dump.parquet
  Digitalizer_V2.x           frame 5093 reg 0: off=2649 on=3746 (+709 diff frames) /scratch/preframr/hvsc/MUSICIANS/B/Blues_Muz/Nordboe_Kjell/Soulman.1.dump.parquet
  GoatTracker_V2.x           frame 13 reg 0: off=5613 on=65535 (+19 diff frames) /scratch/preframr/hvsc/MUSICIANS/R/Radiantx/Kippers_as_Slippers.1.dump.parquet
  GoatTracker_V2.x           frame 3461 reg 14: off=6675 on=7072 (+76 diff frames) /scratch/preframr/hvsc/MUSICIANS/L/Leaf/Bear_Tracking.1.dump.parquet
  X-Ample                    frame 20116 reg 7: off=11894 on=3150 (+10644 diff frames) /scratch/preframr/hvsc/MUSICIANS/D/Detert_Thomas/Parsec.1.dump.parquet
  GoatTracker_V2.x           frame 2544 reg 7: off=3746 on=3150 (+10 diff frames) /scratch/preframr/hvsc/MUSICIANS/C/Crowley_Owen/For_Opium.1.dump.parquet
  Dane                       frame 37608 reg 14: off=3969 on=3746 (+18 diff frames) /scratch/preframr/hvsc/MUSICIANS/M/Mitch_and_Dane/Dane/Edge_of_Disgrace.1.dump.parquet
  SoedeSoft                  frame 340 reg 0: off=13350 on=6675 (+29 diff frames) /scratch/preframr/hvsc/MUSICIANS/D/Doussis_Stello/Nixa.1.dump.parquet
  GoatTracker_V2.x           frame 2075 reg 0: off=5001 on=3746 (+460 diff frames) /scratch/preframr/hvsc/MUSICIANS/L/Linus/Monumentum_tune_3.1.dump.parquet
  Hermit/SidWizard_V1.x      frame 4 reg 7: off=28288 on=14144 (+30 diff frames) /scratch/preframr/hvsc/MUSICIANS/D/Deetsay/Kauas_pilvet_scrollaavat.1.dump.parquet
  DMC                        frame 4963 reg 14: off=56576 on=1325 (+2736 diff frames) /scratch/preframr/hvsc/MUSICIANS/C/Cubehead/Ill_Messagero.1.dump.parquet
  JCH_NewPlayer              frame 795 reg 0: off=1487 on=496 (+2019 diff frames) /scratch/preframr/hvsc/MUSICIANS/K/Kasmo/Peace/Artificial.1.dump.parquet
  GoatTracker_V2.x           frame 131 reg 0: off=1487 on=2103 (+4 diff frames) /scratch/preframr/hvsc/MUSICIANS/F/Fegolhuzz/Zone_5_tune_3.1.dump.parquet
  Digitalizer_V2.x           frame 158 reg 0: off=8410 on=4205 (+616 diff frames) /scratch/preframr/hvsc/MUSICIANS/B/Blues_Muz/Nordboe_Kjell/Frode.1.dump.parquet
  GoatTracker_V2.x           frame 161 reg 7: off=65535 on=7938 (+6 diff frames) /scratch/preframr/hvsc/MUSICIANS/D/DJ_Space/Mask.1.dump.parquet
  GoatTracker_V2.x           frame 4490 reg 7: off=8910 on=28288 (+980 diff frames) /scratch/preframr/hvsc/MUSICIANS/U/Uctumi/Radioactive_Tenderness.1.dump.parquet
  DMC                        frame 39 reg 7: off=3969 on=1669 (+7 diff frames) /scratch/preframr/hvsc/MUSICIANS/Z/Zyron/Filtermezzo.1.dump.parquet
  HardTrack_Composer         frame 3829 reg 0: off=3746 on=7072 (+48 diff frames) /scratch/preframr/hvsc/MUSICIANS/S/Shogoon/Muza_Do_Dema.1.dump.parquet
  JCH_NewPlayer              frame 190 reg 7: off=5001 on=10596 (+23 diff frames) /scratch/preframr/hvsc/MUSICIANS/S/Scortia/Intro_worktune.1.dump.parquet
  DMC                        frame 11312 reg 0: off=8410 on=4205 (+1407 diff frames) /scratch/preframr/hvsc/MUSICIANS/P/Psych858o/Epitaph_4_a_Liver.1.dump.parquet
  DMC                        frame 2748 reg 0: off=3338 on=63504 (+43 diff frames) /scratch/preframr/hvsc/MUSICIANS/B/Booker/Droop_Intoo.1.dump.parquet
